ID,context_id,context_title,context_length,context,question type,question,A,B,C,D,E,answer
0,0,Penyebab Perang Badar (1),713,"Pada saat Nabi sudah hijrah ke Madinah masih sering terjadi peperangan antara orang Islam dengan kafir Quraisy, diantaranya adalah perang Badar. Perang badar merupakan salah satu perang yang sangat menentukan masa depan negara Islam yang terjadi pada tahun kedua di daerah Badar kurang lebih 120 km dari Madinah. Perang badar ada tiga macam, yaitu perang badar pertama, perang badar kubra, dan perang badar yang terakhir (Ghazwah al-Sawiq) terjadi pada abad keempat hijrah. Perang badar kubra didahului oleh Sariyah Abdullah Ibn Jahsy ke daerah Nakhlah yang berada di antara Mekkah dan Thaif yang terjadi pada bulan Rajab tahun ke-2 H. Sariyah inilah yang menjadi penyebab paling kuat terhadap perang Badar Kubra.",who,"Siapa orang pertama yang diutus Rasulullah untuk mengintai orang Quraisy, yang mana rombongan orang ini membunuh orang Quraisy pada bulan Haram dan menyebabkan terjadinya perang Badar Kubra?",Sariyah Amr ibn Al-Khadlrami,Sariyah Abdullah Ibn Jahsy,Khalid Ibn Walid,Ali bin Abi Thalib,Umar bin Khattab,B
1,0,Penyebab Perang Badar (1),713,"Pada saat Nabi sudah hijrah ke Madinah masih sering terjadi peperangan antara orang Islam dengan kafir Quraisy, diantaranya adalah perang Badar. Perang badar merupakan salah satu perang yang sangat menentukan masa depan negara Islam yang terjadi pada tahun kedua di daerah Badar kurang lebih 120 km dari Madinah. Perang badar ada tiga macam, yaitu perang badar pertama, perang badar kubra, dan perang badar yang terakhir (Ghazwah al-Sawiq) terjadi pada abad keempat hijrah. Perang badar kubra didahului oleh Sariyah Abdullah Ibn Jahsy ke daerah Nakhlah yang berada di antara Mekkah dan Thaif yang terjadi pada bulan Rajab tahun ke-2 H. Sariyah inilah yang menjadi penyebab paling kuat terhadap perang Badar Kubra.",when,Pada tahun keberapa perang Badar terjadi dalam kalender hijriyah?,tahun kedua,tahun kelima,tahun ketiga,tahun pertama,tahun keempat,A
2,0,Penyebab Perang Badar (1),713,"Pada saat Nabi sudah hijrah ke Madinah masih sering terjadi peperangan antara orang Islam dengan kafir Quraisy, diantaranya adalah perang Badar. Perang badar merupakan salah satu perang yang sangat menentukan masa depan negara Islam yang terjadi pada tahun kedua di daerah Badar kurang lebih 120 km dari Madinah. Perang badar ada tiga macam, yaitu perang badar pertama, perang badar kubra, dan perang badar yang terakhir (Ghazwah al-Sawiq) terjadi pada abad keempat hijrah. Perang badar kubra didahului oleh Sariyah Abdullah Ibn Jahsy ke daerah Nakhlah yang berada di antara Mekkah dan Thaif yang terjadi pada bulan Rajab tahun ke-2 H. Sariyah inilah yang menjadi penyebab paling kuat terhadap perang Badar Kubra.",what,Apa saja macam-macam perang yang terjadi dalam peristiwa Badar?,"perang badar pertama, perang badar sugra, dan perang badar yang terakhir (Ghazwah al-Sawiq)",perang badar saja,"perang badar sugra, dan perang badar kubra",perang badar pertama dan perang badar yang terakhir (Ghazwah al-Sawiq),"perang badar pertama, perang badar kubra, dan perang badar yang terakhir (Ghazwah al-Sawiq)",E
3,1,Penyebab Perang Badar bagian (2),1754,"Sebenarnya Nabi telah memerintahkan Abu Ubaidah Amir ibn Al-Jarah untuk mempersiapkan perang, namun tidak jadi, dan sebagai gantinya diutus Abdullah ibn Jahsy yang diikuti 8 orang muhajirin, dan Nabi menulis kepadanya dan memerintahkan agar tidak dibuka kecuali setelah menempuh perjalanan selama dua hari. Setelah dibuka ternyata sahabat ini disuruh berhenti di Nakhlah untuk mengintai Quraisy dan mencari berita tentang gerakan dan pengaturan perang mereka. Adapun Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan tersesat di daerah Ma'dan yang disebut dengan Bahran. Sehingga Ibn Jahsy berjalan bersama sahabat lainnya sampai di Nakhlah. Kemudian ia melihat rombongan unta Quraisy membawa Anggur dan lain-lainnya. Di dalam rombongan itu terdapat Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan sebagai pemimpinnya. Berundinglah para sariyah Islam ini tepatnya pada akhir Rajab karena bingung, jika rombongan ini dibiarkan pada malam ini saja maka mereka akan masuk tanah Haram, dan jika diperangi maka saat ini masih akhir bulan haram (Rajab). Kemudian sariyah ini termotivasi untuk membunuh siapa saja dari rombongan Quraisy yang dapat dilakukannya. Waqid ibn Abdullah al-Tamimi berhasil memanah Amr ibn Al-Khadlrami dan mati. Sementara Utsman Ibn Abdullah dan Al-Hakam ibn Kisan ditawan sedang Naufal berhasil lari. Kemudian Sariyah membawa tawanan ke Madinah. Dan disebutkan juga bahwa Abdulullah Ibn Jahsy membagi hasil rampasan ini seperlimanya kepada Rasulullah padahal hal itu sebelum turun ayat rampasan, hanya saja Nabi mengingkari perang Sariyah ini pada bulan haram dan tidak mau mengambil sesuatupun darinya, seraya berkata ""aku tidak memerintahkan kamu sekalian untuk perang pada bulan haram"".",who,Siapa yang sebenarnya mempersiapkan perang Badar dan kemudian digantikan tugasnya?,Ali bin Abi Thalib,Abu Ubaidah Amir ibn Al-Jarah,Hamzah bin Abdul Muttalib,Khalid bin Walid,Umar bin Khattab,B
4,1,Penyebab Perang Badar bagian (2),1754,"Sebenarnya Nabi telah memerintahkan Abu Ubaidah Amir ibn Al-Jarah untuk mempersiapkan perang, namun tidak jadi, dan sebagai gantinya diutus Abdullah ibn Jahsy yang diikuti 8 orang muhajirin, dan Nabi menulis kepadanya dan memerintahkan agar tidak dibuka kecuali setelah menempuh perjalanan selama dua hari. Setelah dibuka ternyata sahabat ini disuruh berhenti di Nakhlah untuk mengintai Quraisy dan mencari berita tentang gerakan dan pengaturan perang mereka. Adapun Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan tersesat di daerah Ma'dan yang disebut dengan Bahran. Sehingga Ibn Jahsy berjalan bersama sahabat lainnya sampai di Nakhlah. Kemudian ia melihat rombongan unta Quraisy membawa Anggur dan lain-lainnya. Di dalam rombongan itu terdapat Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan sebagai pemimpinnya. Berundinglah para sariyah Islam ini tepatnya pada akhir Rajab karena bingung, jika rombongan ini dibiarkan pada malam ini saja maka mereka akan masuk tanah Haram, dan jika diperangi maka saat ini masih akhir bulan haram (Rajab). Kemudian sariyah ini termotivasi untuk membunuh siapa saja dari rombongan Quraisy yang dapat dilakukannya. Waqid ibn Abdullah al-Tamimi berhasil memanah Amr ibn Al-Khadlrami dan mati. Sementara Utsman Ibn Abdullah dan Al-Hakam ibn Kisan ditawan sedang Naufal berhasil lari. Kemudian Sariyah membawa tawanan ke Madinah. Dan disebutkan juga bahwa Abdulullah Ibn Jahsy membagi hasil rampasan ini seperlimanya kepada Rasulullah padahal hal itu sebelum turun ayat rampasan, hanya saja Nabi mengingkari perang Sariyah ini pada bulan haram dan tidak mau mengambil sesuatupun darinya, seraya berkata ""aku tidak memerintahkan kamu sekalian untuk perang pada bulan haram"".",who,Siapa yang diutus oleh Nabi untuk mengintai Quraisy dalam perang Badar pertama kali?,Abdullah ibn Jahsy,Abu Bakr as-Siddiq,Zaid bin Harithah,Umar bin Khattab,Ali bin Abi Talib,A
5,1,Penyebab Perang Badar bagian (2),1754,"Sebenarnya Nabi telah memerintahkan Abu Ubaidah Amir ibn Al-Jarah untuk mempersiapkan perang, namun tidak jadi, dan sebagai gantinya diutus Abdullah ibn Jahsy yang diikuti 8 orang muhajirin, dan Nabi menulis kepadanya dan memerintahkan agar tidak dibuka kecuali setelah menempuh perjalanan selama dua hari. Setelah dibuka ternyata sahabat ini disuruh berhenti di Nakhlah untuk mengintai Quraisy dan mencari berita tentang gerakan dan pengaturan perang mereka. Adapun Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan tersesat di daerah Ma'dan yang disebut dengan Bahran. Sehingga Ibn Jahsy berjalan bersama sahabat lainnya sampai di Nakhlah. Kemudian ia melihat rombongan unta Quraisy membawa Anggur dan lain-lainnya. Di dalam rombongan itu terdapat Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan sebagai pemimpinnya. Berundinglah para sariyah Islam ini tepatnya pada akhir Rajab karena bingung, jika rombongan ini dibiarkan pada malam ini saja maka mereka akan masuk tanah Haram, dan jika diperangi maka saat ini masih akhir bulan haram (Rajab). Kemudian sariyah ini termotivasi untuk membunuh siapa saja dari rombongan Quraisy yang dapat dilakukannya. Waqid ibn Abdullah al-Tamimi berhasil memanah Amr ibn Al-Khadlrami dan mati. Sementara Utsman Ibn Abdullah dan Al-Hakam ibn Kisan ditawan sedang Naufal berhasil lari. Kemudian Sariyah membawa tawanan ke Madinah. Dan disebutkan juga bahwa Abdulullah Ibn Jahsy membagi hasil rampasan ini seperlimanya kepada Rasulullah padahal hal itu sebelum turun ayat rampasan, hanya saja Nabi mengingkari perang Sariyah ini pada bulan haram dan tidak mau mengambil sesuatupun darinya, seraya berkata ""aku tidak memerintahkan kamu sekalian untuk perang pada bulan haram"".",how many,Berapa lama jarak waktu yang harus ditempuh sebelum membuka surat yang dikirim oleh Nabi kepada Abdullah ibn Jahsy dalam peristiwa Sariyah Nakhlah?,Lima hari,Tiga hari,Empat hari,Satu minggu,dua hari,E
6,1,Penyebab Perang Badar bagian (2),1754,"Sebenarnya Nabi telah memerintahkan Abu Ubaidah Amir ibn Al-Jarah untuk mempersiapkan perang, namun tidak jadi, dan sebagai gantinya diutus Abdullah ibn Jahsy yang diikuti 8 orang muhajirin, dan Nabi menulis kepadanya dan memerintahkan agar tidak dibuka kecuali setelah menempuh perjalanan selama dua hari. Setelah dibuka ternyata sahabat ini disuruh berhenti di Nakhlah untuk mengintai Quraisy dan mencari berita tentang gerakan dan pengaturan perang mereka. Adapun Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan tersesat di daerah Ma'dan yang disebut dengan Bahran. Sehingga Ibn Jahsy berjalan bersama sahabat lainnya sampai di Nakhlah. Kemudian ia melihat rombongan unta Quraisy membawa Anggur dan lain-lainnya. Di dalam rombongan itu terdapat Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan sebagai pemimpinnya. Berundinglah para sariyah Islam ini tepatnya pada akhir Rajab karena bingung, jika rombongan ini dibiarkan pada malam ini saja maka mereka akan masuk tanah Haram, dan jika diperangi maka saat ini masih akhir bulan haram (Rajab). Kemudian sariyah ini termotivasi untuk membunuh siapa saja dari rombongan Quraisy yang dapat dilakukannya. Waqid ibn Abdullah al-Tamimi berhasil memanah Amr ibn Al-Khadlrami dan mati. Sementara Utsman Ibn Abdullah dan Al-Hakam ibn Kisan ditawan sedang Naufal berhasil lari. Kemudian Sariyah membawa tawanan ke Madinah. Dan disebutkan juga bahwa Abdulullah Ibn Jahsy membagi hasil rampasan ini seperlimanya kepada Rasulullah padahal hal itu sebelum turun ayat rampasan, hanya saja Nabi mengingkari perang Sariyah ini pada bulan haram dan tidak mau mengambil sesuatupun darinya, seraya berkata ""aku tidak memerintahkan kamu sekalian untuk perang pada bulan haram"".",who,Siapa saja yang tersesat di daerah Ma'dan sesuai dengan konteks sejarah saat pengintaian kaum Quraisy mengenai persiapan perang Badar?,Utsman ibn Affan dan Ali ibn Abi Thalib,Zubair ibn Awwam dan Abu Hudhaifah ibn 'Utbah,Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan,Abu Bakr as-Siddiq dan Umar ibn al-Khattab,Hamzah ibn Abdul-Muttalib dan Ali ibn Abi Thalib,C
7,1,Penyebab Perang Badar bagian (2),1754,"Sebenarnya Nabi telah memerintahkan Abu Ubaidah Amir ibn Al-Jarah untuk mempersiapkan perang, namun tidak jadi, dan sebagai gantinya diutus Abdullah ibn Jahsy yang diikuti 8 orang muhajirin, dan Nabi menulis kepadanya dan memerintahkan agar tidak dibuka kecuali setelah menempuh perjalanan selama dua hari. Setelah dibuka ternyata sahabat ini disuruh berhenti di Nakhlah untuk mengintai Quraisy dan mencari berita tentang gerakan dan pengaturan perang mereka. Adapun Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan tersesat di daerah Ma'dan yang disebut dengan Bahran. Sehingga Ibn Jahsy berjalan bersama sahabat lainnya sampai di Nakhlah. Kemudian ia melihat rombongan unta Quraisy membawa Anggur dan lain-lainnya. Di dalam rombongan itu terdapat Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan sebagai pemimpinnya. Berundinglah para sariyah Islam ini tepatnya pada akhir Rajab karena bingung, jika rombongan ini dibiarkan pada malam ini saja maka mereka akan masuk tanah Haram, dan jika diperangi maka saat ini masih akhir bulan haram (Rajab). Kemudian sariyah ini termotivasi untuk membunuh siapa saja dari rombongan Quraisy yang dapat dilakukannya. Waqid ibn Abdullah al-Tamimi berhasil memanah Amr ibn Al-Khadlrami dan mati. Sementara Utsman Ibn Abdullah dan Al-Hakam ibn Kisan ditawan sedang Naufal berhasil lari. Kemudian Sariyah membawa tawanan ke Madinah. Dan disebutkan juga bahwa Abdulullah Ibn Jahsy membagi hasil rampasan ini seperlimanya kepada Rasulullah padahal hal itu sebelum turun ayat rampasan, hanya saja Nabi mengingkari perang Sariyah ini pada bulan haram dan tidak mau mengambil sesuatupun darinya, seraya berkata ""aku tidak memerintahkan kamu sekalian untuk perang pada bulan haram"".",what,Siapa saja yang terdapat dalam rombongan unta Quraisy dalam perjalanan mereka sebelum perang badar?,"Umayyah ibn Khalaf, Harits ibn Hisham, Abbas ibn Abdul Muttalib, dan Utsman ibn Affan","Saad ibn Abi Waqqas, Abdullah ibn Jahsh, Ubaydah ibn al-Harith, dan Al-Aswad ibn Abi As-Salt","Abdullah ibn Mas'ud, Abu Bakr, Umar ibn Khattab, dan Ali ibn Abi Talib","Abu Jahl, Abu Lahab, Al-Walid ibn Utbah, dan Abu Sufyan","Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan",E
8,1,Penyebab Perang Badar bagian (2),1754,"Sebenarnya Nabi telah memerintahkan Abu Ubaidah Amir ibn Al-Jarah untuk mempersiapkan perang, namun tidak jadi, dan sebagai gantinya diutus Abdullah ibn Jahsy yang diikuti 8 orang muhajirin, dan Nabi menulis kepadanya dan memerintahkan agar tidak dibuka kecuali setelah menempuh perjalanan selama dua hari. Setelah dibuka ternyata sahabat ini disuruh berhenti di Nakhlah untuk mengintai Quraisy dan mencari berita tentang gerakan dan pengaturan perang mereka. Adapun Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan tersesat di daerah Ma'dan yang disebut dengan Bahran. Sehingga Ibn Jahsy berjalan bersama sahabat lainnya sampai di Nakhlah. Kemudian ia melihat rombongan unta Quraisy membawa Anggur dan lain-lainnya. Di dalam rombongan itu terdapat Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan sebagai pemimpinnya. Berundinglah para sariyah Islam ini tepatnya pada akhir Rajab karena bingung, jika rombongan ini dibiarkan pada malam ini saja maka mereka akan masuk tanah Haram, dan jika diperangi maka saat ini masih akhir bulan haram (Rajab). Kemudian sariyah ini termotivasi untuk membunuh siapa saja dari rombongan Quraisy yang dapat dilakukannya. Waqid ibn Abdullah al-Tamimi berhasil memanah Amr ibn Al-Khadlrami dan mati. Sementara Utsman Ibn Abdullah dan Al-Hakam ibn Kisan ditawan sedang Naufal berhasil lari. Kemudian Sariyah membawa tawanan ke Madinah. Dan disebutkan juga bahwa Abdulullah Ibn Jahsy membagi hasil rampasan ini seperlimanya kepada Rasulullah padahal hal itu sebelum turun ayat rampasan, hanya saja Nabi mengingkari perang Sariyah ini pada bulan haram dan tidak mau mengambil sesuatupun darinya, seraya berkata ""aku tidak memerintahkan kamu sekalian untuk perang pada bulan haram"".",when,Kapan para sariyah Islam melakukan perundingan dan membahas tentang situasi yang mereka hadapi sebelum melakukan serangan di Nakhlah?,awal Ramadhan,akhir Rajab,pertengahan Rajab,akhir Ramadhan,awal Sya'ban,B
9,2,"Fase Perang Badar Kubra (1, 2, 3)",1501,"Pertama, Kafilah Quraisy yang dipimpin Abu Sufyan datang dari arah Syam menuju Makah dengan membawa harta dan dagangan. Menurut Ibnu Hisyam dari Ibn Ishaq mereka ini terdiri dari 30/40 orang Quraisy, diantaranya adalah Makhramah Ibn Naufal dan Amr Ibn Al-Ash ibn Wa'il ibn Hisyam. Sedang dalam kitab Al-Thabari Ka'ab ibn Lu'ai, hal ini berdasarkan riwayat dari Ali bin Nashr bin Ali, dan Abdul Warits dari bapaknya dari Abban Al-Thar dari Hisyam bin Urwah dari Urwah bahwa dia telah menulis kepada Abdul Malik bin Marwan. Namun Al-Thabari juga mengutip dari Ibnu Ishaq dengan jalur dari Ibnu Hamid dari Salmah dari Muhammad bin Ishaq bahwa jumlah rombongan Quraisy tersebut adalah 30/40 orang.

Kedua, berita kafilah ini sampai kepada Nabi, kemudian Muhammad mensunnahkan sahabatnya untuk menghalangi kafilah tersebut. Siapa tahu nanti mendapati rizki dari mereka. Sehingga sebagian sahabat merasa keberatan dan sebagiannya tidak, karena perintah Rasul ini bukanlah suatu kewajiban tetapi hanya sebatas menghalangi mereka, dan sahabat tidak mengira jika Nabi akan menghadapi peperangan.

Ketiga, Abu Sufyan setelah dekat Hijaz mencari tahu terus-menerus kepada para penunggang yang berpapasan dengannya tentang Muhammad dan sahabatnya. Ternyata benar bahwa Muhammad telah mengerahkan sahabatnya untuk menghalangi kafilah. Abu Sufyan sangat takut dan memerintahkan diam-diam Ibn Amr Al-Ghifari ke Mekkah untuk mengumpulkan Quraisy agar menyelamatkan rombongannya dari kelompok Muhammad dan sahabatnya.",who,Siapa tokoh yang memimpin kafilah Quraisy yang datang dari arah Syam menuju Mekkah dalam perang Badar Kubra?,Abu Jahl,Abu Sufyan,Abu Lahab,Abu Bakar,Abu Hurairah,B
